AMR.Gene.Family	AMR1A	AMR1H	AMR2A	AMR3A	AMR3H	AMR4A	AMR5A	AMR5H	AMR6A	AMR7A	AMR7H	AMR9H	AMR10A
SPS beta-lactamase	0.438937732	0.184808974	0.061716787	0.078319212	0.071517083	0.271878589	0.173108677	0.052978065	0.106801427	0.059588641	0.158978608	0.11531393	0.058642031
SPU beta-lactamase	0.010871116	0.004821624	0.004641138	0	0.012219262	0.015979262	0.001642731	0.006512282	0.004735521	0.005524353	0.041440944	0.001202913	0.009725356
SRT beta-lactamase	0.630186259	0.152287356	0.114710568	0.369632689	0.498020347	0.34661618	0.250722863	0.079319979	0.26578277	0.253450409	0.231861569	0.236650328	0.292840691
SST beta-lactamase	0.130241948	0.082846522	0.050709939	0.126946363	0.078029709	0.184297585	0.105365345	0.039898106	0.183180983	0.052326735	0.127077984	0.108711161	0.049662727
STA beta-lactamase	0.070454948	0.045211271	0.045274577	0.036550758	0.035817552	0.079714606	0.03498757	0.017417208	0.023156084	0.025934283	0.103275603	0.039537317	0.019144696
Sed beta-lactamase	0.310369266	0.166894519	0.042300316	0.089218266	0.06827043	0.170641132	0.073872987	0.021351714	0.093363417	0.064547252	0.127773037	0.027266689	0.041777306
Subclass B1 Vibrio cholerae varG beta-lactamase	0.529091135	0.129775726	0.126338274	0.175608909	0.151612804	0.30510144	0.105555656	0.139396769	0.190244532	0.164417379	0.106166043	0.096654275	0.202839757
TEM beta-lactamase	1.220959601	0.631040142	0.271897839	0.521130651	0.38317858	0.529883378	0.32223346	0.226255104	0.322084484	0.134012873	0.702425208	0.360468242	0.597446869
TER beta-lactamase	0.489723619	0.063140282	0.169413498	0.143541819	0.263738775	0.422080448	0.072021144	0.053520027	0.102685189	0.037174721	0.398958919	0.13049731	0.047639191
THIN-B beta-lactamase	0.135751606	0.062609336	0.03723679	0.02947138	0.019450712	0.149477847	0.019768658	0.006961708	0.016286068	0.021383709	0.330238091	0.015195259	0.042981062
TLA beta-lactamase	0.854433293	0.555548882	0.21141204	0.820820042	1.212808893	0.590648942	0.408420185	0.254558329	0.892006159	1.005805799	0.354829834	0.714397353	0.441587347
TMB beta-lactamase	0.072071206	0.009021851	0.011670427	0.030575014	0.000482162	0.026106404	0.00212427	0	0.006214158	0.002053413	0.028654042	0.005524775	0.028235583
TRU beta-lactamase	0.199082177	0.106330558	0.134530062	0.147541695	0.080929852	0.151885289	0.151518854	0.147364309	0.120740707	0.139362838	0.155088317	0.154681889	0.209006498
TTU beta-lactamase	0.26712311	0.034651683	0.031340556	0.018564554	0.00212427	0.113639141	0.013316052	0.001232048	0.009768423	0.003157014	0.103735077	0.007207121	0.018043702
TUS beta-lactamase	0.112108385	0.059305975	0.011022704	0.054168879	0.073926538	0.098538785	0.078851074	0.085310896	0.071032817	0.089617285	0.067266459	0.042402699	0.081044633
VAM beta-lactamase	0.323530972	0.106746185	0.090281466	0.345194164	0.243239884	0.218893867	0.21555654	0.100235198	0.227726115	0.178376236	0.125102999	0.177001478	0.259547897
VCC beta-lactamase	0.174622835	0.070100903	0.10569662	0.43321556	0.19630632	0.285237959	0.152720557	0.139336464	0.341137043	0.102548372	0.192562048	0.236446776	0.19672226
VEB beta-lactamase	0.210302708	0.215059019	0.203291728	0.13347187	0.315845685	0.251377247	0.200104349	0.126725205	0.159085305	0.382530667	0.305070696	0.156220618	0.102105046
VHH beta-lactamase	0.094088321	0.028407578	0.007802971	0.005861054	0.001578507	0.052174447	0.006606527	0.000902185	0.003241785	0.005435558	0.022661633	0.00261064	0.014869888
VHW beta-lactamase	0.098538785	0.017248672	0.022141759	0.025256113	0.020869779	0.059458745	0.012029135	0.025285925	0.033972238	0.029894069	0.046991527	0.032572137	0.075148464
VIM beta-lactamase	0.84805973	0.352314465	0.177187416	0.351103336	0.498492511	0.427034277	0.24054047	0.116864498	0.234330927	0.119509316	0.520446097	0.247440065	0.375512668
